career,programming_concept_percentage,communication_skills_percentage,hours_working_per_day,hackathons,coding_skills_rating,public_speaking_points,self_learning_capability,certifications,workshops,interested_subjects,interested_career_area,company_type
Software Developer,91,64,7,3,8,4,9,2,4,['Web Development'],['Technology'],Startup
Software Developer,87,58,9,4,8,6,8,2,2,['Game Development'],['Technology'],Product
Software Developer,70,74,8,1,9,6,9,2,4,"['Game Development', 'Web Development', 'Mobile Development']",['Technology'],Service
Software Developer,80,79,8,4,8,4,7,1,2,['Web Development'],['Technology'],Startup
Software Developer,80,65,8,3,8,6,7,1,2,['Web Development'],['Technology'],Service
Software Developer,75,74,6,2,8,6,7,2,2,"['Game Development', 'Web Development']",['Technology'],Service
Software Developer,70,69,8,1,9,4,7,2,2,"['Mobile Development', 'Web Development', 'Game Development']",['Technology'],Service
Software Developer,74,50,9,3,9,4,9,2,4,['Game Development'],['Technology'],Startup
Software Developer,99,68,6,2,9,4,7,2,2,"['Web Development', 'Game Development', 'Mobile Development']",['Technology'],Product
Software Developer,90,64,6,3,8,6,8,2,2,"['Game Development', 'Web Development']",['Technology'],Service
Software Developer,93,55,8,3,9,6,8,1,3,"['Mobile Development', 'Game Development']",['Technology'],Service
Software Developer,75,68,9,3,8,7,7,1,2,"['Game Development', 'Web Development', 'Mobile Development']",['Technology'],Service
Software Developer,81,52,7,2,8,5,8,2,3,"['Web Development', 'Mobile Development']",['Technology'],Startup
Software Developer,85,67,7,4,8,4,7,1,2,"['Mobile Development', 'Web Development', 'Game Development']",['Technology'],Service
Software Developer,70,68,9,4,8,5,9,1,2,"['Game Development', 'Web Development', 'Mobile Development']",['Technology'],Service
Software Developer,87,60,8,4,9,7,7,2,4,['Web Development'],['Technology'],Service
Software Developer,80,71,6,4,9,5,7,2,3,['Web Development'],['Technology'],Product
Software Developer,76,77,9,4,9,5,8,1,2,['Game Development'],['Technology'],Startup
Software Developer,79,72,9,1,9,6,7,2,2,"['Game Development', 'Web Development']",['Technology'],Service
